epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1196,2.21344,3.6813,1.31043,0.86578,0.12189,0.22056,0.08567,2.20088,2.87175,1.22661,0.000299349,0.000299349,0.000299349
2,60.4629,2.09435,2.89563,1.25085,0.29787,0.39191,0.23106,0.11026,1.93237,2.1461,1.14775,0.000596386,0.000596386,0.000596386
3,89.9584,2.09959,2.5647,1.26577,0.29726,0.40338,0.3208,0.15414,1.92341,1.95936,1.13341,0.000887423,0.000887423,0.000887423
4,122.352,2.06674,2.45125,1.2571,0.25224,0.48755,0.34941,0.15358,2.06377,2.06756,1.18789,0.000882003,0.000882003,0.000882003
5,155.49,2.05436,2.28729,1.2593,0.39519,0.43002,0.41368,0.20403,2.01013,1.799,1.15818,0.000873004,0.000873004,0.000873004
6,186.741,2.08879,2.20456,1.27031,0.50443,0.39802,0.41647,0.18501,2.09134,1.83443,1.17026,0.000864004,0.000864004,0.000864004
7,216.978,2.01459,2.11994,1.25319,0.48417,0.44166,0.42284,0.17457,2.30239,1.76835,1.28835,0.000855005,0.000855005,0.000855005
8,248.273,1.99392,2.07559,1.23245,0.54405,0.54974,0.47359,0.24586,1.83914,1.63698,1.10829,0.000846006,0.000846006,0.000846006
9,277.373,1.99915,2.00273,1.24492,0.54765,0.5214,0.52711,0.25681,1.95827,1.54853,1.13599,0.000837007,0.000837007,0.000837007
10,306.66,1.99872,1.97396,1.21715,0.56261,0.50543,0.49487,0.25303,1.88845,1.55432,1.09655,0.000828008,0.000828008,0.000828008
11,335.319,1.97847,1.90765,1.21818,0.54526,0.45972,0.51427,0.21278,2.04707,1.63686,1.1869,0.000819009,0.000819009,0.000819009
12,364.706,1.97761,1.91026,1.22017,0.60195,0.55607,0.55262,0.26695,1.91403,1.49174,1.13126,0.00081001,0.00081001,0.00081001
13,393.329,1.95947,1.83636,1.20942,0.65341,0.5581,0.5843,0.30135,1.84405,1.44165,1.10711,0.000801011,0.000801011,0.000801011
14,421.929,1.95202,1.81642,1.22163,0.64477,0.57517,0.60562,0.32609,1.79414,1.43691,1.09333,0.000792012,0.000792012,0.000792012
15,451.595,1.9786,1.80059,1.21375,0.68135,0.55677,0.59836,0.30281,1.88338,1.64019,1.12329,0.000783013,0.000783013,0.000783013
16,482.062,1.95157,1.80522,1.18853,0.63404,0.58106,0.61389,0.3074,1.82498,1.42288,1.11212,0.000774013,0.000774013,0.000774013
17,511.685,1.97312,1.78633,1.2135,0.58634,0.55847,0.58164,0.26524,2.034,1.50305,1.14725,0.000765014,0.000765014,0.000765014
18,540.691,1.93232,1.75521,1.196,0.59111,0.58574,0.54416,0.26671,1.93616,1.46043,1.12388,0.000756015,0.000756015,0.000756015
19,569.661,1.91994,1.75825,1.21405,0.69579,0.58438,0.62392,0.30026,1.93375,1.39163,1.13508,0.000747016,0.000747016,0.000747016
20,597.919,1.91587,1.69967,1.2003,0.68229,0.64633,0.6599,0.36498,1.80897,1.33437,1.09264,0.000738017,0.000738017,0.000738017
21,627.833,1.91595,1.67572,1.18598,0.67154,0.63825,0.64787,0.31958,1.96004,1.42921,1.13349,0.000729018,0.000729018,0.000729018
22,656.891,1.95941,1.73557,1.19712,0.68052,0.60294,0.64062,0.33135,1.89778,1.44183,1.11995,0.000720019,0.000720019,0.000720019
23,685.772,1.95187,1.71523,1.19304,0.68638,0.60363,0.63418,0.3353,1.88639,1.3835,1.10454,0.00071102,0.00071102,0.00071102
24,714.333,1.91952,1.6781,1.19053,0.6503,0.61656,0.66152,0.34054,1.76501,1.30626,1.08075,0.000702021,0.000702021,0.000702021
25,744.067,1.8946,1.63662,1.18954,0.58993,0.6206,0.64346,0.33621,1.88917,1.34384,1.11633,0.000693022,0.000693022,0.000693022
26,772.819,1.88593,1.64042,1.18751,0.65609,0.67762,0.67019,0.30575,1.97305,1.36588,1.14161,0.000684022,0.000684022,0.000684022
27,801.419,1.89368,1.65325,1.19481,0.66485,0.65558,0.6506,0.34517,1.79808,1.31031,1.08628,0.000675023,0.000675023,0.000675023
28,830.211,1.89388,1.63931,1.18524,0.68096,0.63321,0.66574,0.36695,1.80899,1.33012,1.0972,0.000666024,0.000666024,0.000666024
29,858.622,1.8923,1.59694,1.17691,0.68456,0.63942,0.6588,0.31706,1.87351,1.29073,1.10276,0.000657025,0.000657025,0.000657025
30,887.938,1.92043,1.57853,1.17915,0.66712,0.61404,0.64358,0.32372,1.85171,1.3398,1.0985,0.000648026,0.000648026,0.000648026
31,916.427,1.84991,1.58696,1.16929,0.69681,0.6339,0.66637,0.34015,1.88682,1.2736,1.10679,0.000639027,0.000639027,0.000639027
32,945.247,1.89823,1.57931,1.18247,0.69297,0.65481,0.68176,0.38196,1.66515,1.23022,1.04987,0.000630028,0.000630028,0.000630028
33,973.82,1.88299,1.55704,1.15573,0.70948,0.63154,0.66613,0.3528,1.83853,1.27325,1.08803,0.000621029,0.000621029,0.000621029
34,1003.89,1.90013,1.55435,1.167,0.64261,0.62669,0.64414,0.3205,1.89335,1.29119,1.09865,0.00061203,0.00061203,0.00061203
35,1032.6,1.85616,1.51506,1.14593,0.67415,0.67509,0.68143,0.33336,1.89286,1.32516,1.10849,0.000603031,0.000603031,0.000603031
36,1061.72,1.88438,1.5586,1.16829,0.68051,0.64631,0.6712,0.3451,1.84539,1.27653,1.09775,0.000594031,0.000594031,0.000594031
37,1089.92,1.84884,1.51961,1.15784,0.70301,0.70872,0.69104,0.36646,1.77735,1.23718,1.06373,0.000585032,0.000585032,0.000585032
38,1119.11,1.8541,1.53196,1.16168,0.68866,0.69334,0.6886,0.37698,1.73477,1.20542,1.0569,0.000576033,0.000576033,0.000576033
39,1148.4,1.86117,1.50976,1.15946,0.70952,0.686,0.71637,0.37812,1.78776,1.21053,1.07701,0.000567034,0.000567034,0.000567034
40,1176.91,1.85066,1.49456,1.15683,0.71253,0.69085,0.68908,0.34943,1.84735,1.25686,1.10314,0.000558035,0.000558035,0.000558035
41,1205.94,1.83617,1.50481,1.15857,0.62748,0.67721,0.69695,0.39137,1.72324,1.23046,1.05242,0.000549036,0.000549036,0.000549036
42,1234.67,1.83893,1.47969,1.16148,0.73108,0.68025,0.70486,0.38662,1.73351,1.23526,1.06448,0.000540037,0.000540037,0.000540037
43,1265.12,1.81796,1.47216,1.15801,0.69427,0.69021,0.69361,0.36404,1.92687,1.29839,1.10955,0.000531038,0.000531038,0.000531038
44,1293.79,1.84763,1.47837,1.15354,0.69741,0.68793,0.70786,0.38346,1.78337,1.21388,1.07286,0.000522039,0.000522039,0.000522039
45,1322.29,1.82299,1.47289,1.15122,0.71044,0.70356,0.71398,0.41226,1.73356,1.2034,1.06384,0.00051304,0.00051304,0.00051304
46,1351.07,1.82234,1.46985,1.14395,0.6968,0.70433,0.69466,0.35865,1.80742,1.26187,1.08246,0.00050404,0.00050404,0.00050404
47,1380.79,1.81582,1.45836,1.13366,0.7734,0.67955,0.714,0.38594,1.76706,1.18297,1.07121,0.000495041,0.000495041,0.000495041
48,1409.91,1.83563,1.45104,1.15405,0.7321,0.70881,0.71712,0.37363,1.82775,1.21614,1.08014,0.000486042,0.000486042,0.000486042
49,1438.82,1.81704,1.45359,1.13885,0.73552,0.65323,0.69847,0.39203,1.78057,1.24075,1.06099,0.000477043,0.000477043,0.000477043
50,1467.41,1.81206,1.44534,1.14377,0.72728,0.69825,0.72027,0.38953,1.70655,1.16884,1.04778,0.000468044,0.000468044,0.000468044
51,1497.36,1.82341,1.4544,1.15569,0.72827,0.71104,0.73093,0.39097,1.81158,1.17914,1.07767,0.000459045,0.000459045,0.000459045
52,1525.97,1.80006,1.43826,1.13169,0.72121,0.68677,0.72061,0.38589,1.7378,1.1828,1.05979,0.000450046,0.000450046,0.000450046
53,1554.29,1.78971,1.43193,1.13438,0.72214,0.72707,0.7298,0.3892,1.80564,1.18775,1.06646,0.000441047,0.000441047,0.000441047
54,1582.8,1.7818,1.42549,1.14682,0.73648,0.71746,0.7496,0.43278,1.67589,1.14518,1.04007,0.000432048,0.000432048,0.000432048
55,1611.37,1.79131,1.4121,1.12353,0.70309,0.73172,0.73028,0.40992,1.68871,1.14268,1.0364,0.000423049,0.000423049,0.000423049
56,1641.28,1.80781,1.39525,1.14121,0.74251,0.73407,0.7485,0.42543,1.64335,1.12187,1.02233,0.000414049,0.000414049,0.000414049
57,1670.31,1.76439,1.38208,1.12341,0.78042,0.69084,0.74706,0.43557,1.70277,1.13019,1.04006,0.00040505,0.00040505,0.00040505
58,1699.35,1.77332,1.38101,1.12387,0.78753,0.70557,0.75046,0.461,1.58523,1.101,1.00953,0.000396051,0.000396051,0.000396051
59,1727.94,1.76913,1.36214,1.1243,0.77401,0.70333,0.75534,0.42007,1.73958,1.13947,1.05444,0.000387052,0.000387052,0.000387052
60,1757.26,1.76969,1.37282,1.11635,0.74218,0.69884,0.74273,0.44573,1.66458,1.1184,1.03089,0.000378053,0.000378053,0.000378053
61,1786.09,1.77783,1.34436,1.11827,0.7508,0.72316,0.74368,0.39678,1.83419,1.16176,1.07786,0.000369054,0.000369054,0.000369054
62,1814.69,1.75762,1.34409,1.12438,0.72945,0.72866,0.75258,0.42549,1.75326,1.12634,1.0498,0.000360055,0.000360055,0.000360055
