epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3365,1.57738,1.16439,1.06189,0.78232,0.71968,0.77217,0.44949,1.63923,1.08946,1.01774,0.000299349,0.000299349,0.000299349
2,59.8417,1.72868,1.32257,1.10358,0.74359,0.71825,0.74621,0.4344,1.58693,1.13199,1.01085,0.000596386,0.000596386,0.000596386
3,88.1708,1.77344,1.38404,1.11698,0.72521,0.70041,0.7192,0.38361,1.75496,1.22,1.06572,0.000887423,0.000887423,0.000887423
4,116.333,1.80373,1.43544,1.13553,0.71626,0.6345,0.69286,0.39077,1.67534,1.24729,1.0389,0.000882003,0.000882003,0.000882003
5,145.914,1.78889,1.43991,1.13974,0.71286,0.66321,0.69097,0.3411,1.85381,1.27155,1.10541,0.000873004,0.000873004,0.000873004
6,174.875,1.82106,1.45269,1.1534,0.7058,0.70367,0.71328,0.39163,1.67951,1.20163,1.0417,0.000864004,0.000864004,0.000864004
7,203.01,1.78782,1.44392,1.13995,0.74361,0.71213,0.72304,0.33841,1.88327,1.27623,1.08706,0.000855005,0.000855005,0.000855005
8,231.128,1.77637,1.41189,1.1319,0.77405,0.65394,0.73347,0.40214,1.72734,1.19941,1.05697,0.000846006,0.000846006,0.000846006
9,260.125,1.78089,1.41234,1.1437,0.73886,0.67794,0.73874,0.4404,1.60153,1.14214,1.01345,0.000837007,0.000837007,0.000837007
10,288.041,1.81745,1.4258,1.12419,0.75156,0.65937,0.71102,0.39281,1.73792,1.19422,1.0602,0.000828008,0.000828008,0.000828008
11,317.246,1.77599,1.39431,1.12429,0.74123,0.67173,0.70572,0.33241,1.83155,1.24393,1.10253,0.000819009,0.000819009,0.000819009
