epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.267,2.21355,3.65561,1.31398,0.00855,0.58861,0.2254,0.10339,2.04849,2.95089,1.16991,0.000299349,0.000299349,0.000299349
2,61.3336,2.11005,2.88931,1.26318,0.48529,0.27918,0.20688,0.10347,1.87946,2.00513,1.13377,0.000596386,0.000596386,0.000596386
3,92.8881,2.11203,2.57017,1.25319,0.43549,0.39799,0.34556,0.15758,1.88678,1.95773,1.12213,0.000887423,0.000887423,0.000887423
4,121.944,2.07327,2.45913,1.25404,0.35641,0.45717,0.39623,0.16763,2.02784,1.9419,1.14981,0.000882003,0.000882003,0.000882003
5,151.076,2.0415,2.28016,1.24973,0.37024,0.41269,0.32677,0.13057,2.08684,1.76954,1.20592,0.000873004,0.000873004,0.000873004
6,181.036,2.06335,2.21627,1.26766,0.36553,0.46421,0.35621,0.12578,2.11151,1.89719,1.17925,0.000864004,0.000864004,0.000864004
7,211.141,2.02725,2.13089,1.24188,0.42877,0.50202,0.42666,0.1884,2.28998,1.82388,1.24121,0.000855005,0.000855005,0.000855005
8,241.519,1.99341,2.03656,1.22808,0.48136,0.47327,0.42529,0.19755,1.87642,1.65294,1.12352,0.000846006,0.000846006,0.000846006
9,270.602,1.99391,1.98442,1.23754,0.48176,0.52394,0.47513,0.22366,1.9063,1.62319,1.13103,0.000837007,0.000837007,0.000837007
10,299.247,1.99788,1.96243,1.20941,0.6224,0.51544,0.53747,0.28338,1.81966,1.51169,1.08879,0.000828008,0.000828008,0.000828008
11,328.679,1.97571,1.91216,1.21255,0.46645,0.53209,0.50686,0.25964,1.85225,1.57556,1.11373,0.000819009,0.000819009,0.000819009
12,358.467,1.98189,1.90508,1.21577,0.51226,0.59437,0.55409,0.2646,1.85329,1.50804,1.11359,0.00081001,0.00081001,0.00081001
13,387.483,1.97862,1.83705,1.21334,0.64237,0.54007,0.57568,0.2834,1.88271,1.49672,1.11127,0.000801011,0.000801011,0.000801011
14,415.993,1.95058,1.82031,1.2086,0.61894,0.57553,0.58176,0.32492,1.70222,1.41775,1.06136,0.000792012,0.000792012,0.000792012
15,445.872,1.95661,1.79263,1.20026,0.58858,0.59087,0.57287,0.26119,1.98442,1.59993,1.14686,0.000783013,0.000783013,0.000783013
16,475.114,1.94299,1.78248,1.17642,0.67668,0.56827,0.60633,0.32882,1.75184,1.39649,1.0798,0.000774013,0.000774013,0.000774013
17,503.887,1.9722,1.78146,1.20954,0.59885,0.5201,0.52225,0.2512,2.01787,1.51726,1.14356,0.000765014,0.000765014,0.000765014
18,532.808,1.92442,1.73349,1.19273,0.52491,0.59918,0.57469,0.29247,1.88992,1.45188,1.1073,0.000756015,0.000756015,0.000756015
19,561.509,1.92206,1.76858,1.20251,0.69998,0.5928,0.61838,0.27943,1.91818,1.44977,1.12934,0.000747016,0.000747016,0.000747016
20,589.781,1.92346,1.69664,1.1879,0.72955,0.60662,0.66473,0.352,1.86062,1.34332,1.09193,0.000738017,0.000738017,0.000738017
21,619.522,1.92548,1.67811,1.18352,0.59755,0.62769,0.6351,0.2795,2.04029,1.56505,1.17045,0.000729018,0.000729018,0.000729018
22,648.819,1.95662,1.73602,1.1879,0.68195,0.61792,0.62932,0.3252,1.92283,1.42097,1.10885,0.000720019,0.000720019,0.000720019
23,677.639,1.94603,1.70188,1.18463,0.65975,0.59812,0.62593,0.32023,1.88195,1.38489,1.10176,0.00071102,0.00071102,0.00071102
24,706.299,1.90343,1.66824,1.17782,0.67414,0.65006,0.6754,0.37008,1.70002,1.28379,1.05556,0.000702021,0.000702021,0.000702021
25,735.283,1.88422,1.6235,1.18267,0.61113,0.59916,0.64584,0.31612,1.93546,1.43572,1.12476,0.000693022,0.000693022,0.000693022
26,764.683,1.88529,1.6241,1.18404,0.65448,0.69092,0.67779,0.31268,1.99356,1.4091,1.13021,0.000684022,0.000684022,0.000684022
27,793.384,1.89546,1.64731,1.1888,0.68039,0.64772,0.66825,0.36598,1.7268,1.26342,1.05747,0.000675023,0.000675023,0.000675023
28,822.35,1.90065,1.63387,1.17396,0.6764,0.62787,0.65677,0.34799,1.83419,1.32828,1.08429,0.000666024,0.000666024,0.000666024
29,851.154,1.88563,1.59915,1.17565,0.6322,0.68026,0.65097,0.30505,1.93668,1.36765,1.11738,0.000657025,0.000657025,0.000657025
30,879.88,1.92157,1.56755,1.17462,0.70247,0.63833,0.65991,0.35508,1.8265,1.35207,1.08276,0.000648026,0.000648026,0.000648026
31,909.998,1.86416,1.59848,1.17731,0.69439,0.63189,0.69265,0.35292,1.85334,1.26427,1.09507,0.000639027,0.000639027,0.000639027
32,938.408,1.90621,1.57096,1.18676,0.74869,0.63258,0.70508,0.39425,1.69821,1.22032,1.04589,0.000630028,0.000630028,0.000630028
33,967.706,1.87999,1.54455,1.15594,0.66246,0.64921,0.67385,0.3309,1.89038,1.31106,1.09774,0.000621029,0.000621029,0.000621029
34,997.534,1.90599,1.54364,1.16152,0.70511,0.64452,0.67184,0.34617,1.89355,1.27514,1.09823,0.00061203,0.00061203,0.00061203
35,1028.13,1.85889,1.50285,1.13785,0.62992,0.6616,0.65839,0.33835,1.9498,1.3736,1.10677,0.000603031,0.000603031,0.000603031
36,1059.01,1.88064,1.55316,1.15892,0.71069,0.67056,0.69827,0.38143,1.79038,1.23298,1.07351,0.000594031,0.000594031,0.000594031
37,1087.8,1.85135,1.5199,1.15988,0.72332,0.67814,0.69244,0.37172,1.84766,1.27036,1.077,0.000585032,0.000585032,0.000585032
38,1117.45,1.85811,1.5223,1.15666,0.70958,0.69945,0.71151,0.39112,1.78087,1.20958,1.06759,0.000576033,0.000576033,0.000576033
39,1146.57,1.85787,1.49426,1.15379,0.6842,0.68128,0.68215,0.36381,1.83613,1.21972,1.08373,0.000567034,0.000567034,0.000567034
