epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6219,4.95475,7.35994,4.17375,2e-05,0.01032,1e-05,0,4.91851,4.47993,4.04342,0.000299349,0.000299349,0.000299349
2,59.502,4.74007,7.30216,3.96938,1e-05,0.0102,0,0,4.65747,4.48422,3.6492,0.000596386,0.000596386,0.000596386
3,88.1059,4.42437,6.63884,3.55289,4e-05,0.01089,3e-05,1e-05,4.62243,4.45074,3.41016,0.000887423,0.000887423,0.000887423
4,116.82,4.26083,6.21729,3.19986,2e-05,0.01032,1e-05,0,4.51733,4.85243,3.2985,0.000882003,0.000882003,0.000882003
5,145.555,4.2347,5.64866,2.89438,2e-05,0.01032,3e-05,1e-05,4.4575,4.19906,2.78582,0.000873004,0.000873004,0.000873004
6,174.592,4.14524,5.36776,2.7052,3e-05,0.0246,2e-05,0,4.40776,4.03322,2.58286,0.000864004,0.000864004,0.000864004
7,204.041,4.07579,5.30097,2.56871,0,0.00408,0,0,4.24073,4.00082,2.41786,0.000855005,0.000855005,0.000855005
8,232.689,4.02203,5.19308,2.46088,0.00204,0.11679,0.00136,0.00053,4.08101,3.91789,2.31786,0.000846006,0.000846006,0.000846006
9,261.056,3.90921,5.02858,2.38795,0.00052,0.0574,0.00053,0.00012,4.01853,3.91085,2.31129,0.000837007,0.000837007,0.000837007
10,289.246,3.87994,5.04984,2.29187,0.00027,0.01598,0.00019,5e-05,3.88118,3.93773,2.24079,0.000828008,0.000828008,0.000828008
11,317.594,3.73614,4.91585,2.24608,0.00044,0.02299,0.00032,8e-05,3.79725,3.9224,2.22439,0.000819009,0.000819009,0.000819009
12,346.602,3.61583,4.73148,2.17644,0.00096,0.04446,0.00077,0.00021,3.5502,3.80577,2.03342,0.00081001,0.00081001,0.00081001
13,375.555,3.44395,4.55455,2.06759,0.00118,0.07181,0.00149,0.00036,3.43203,3.68338,1.98576,0.000801011,0.000801011,0.000801011
14,403.723,3.31067,4.35791,1.98224,0.00345,0.12609,0.00716,0.00201,3.22447,3.57014,1.83517,0.000792012,0.000792012,0.000792012
15,432.649,3.19691,4.18039,1.88751,0.16193,0.0756,0.00991,0.00232,3.24715,3.36151,1.8257,0.000783013,0.000783013,0.000783013
16,461.212,3.06927,4.04067,1.79242,0.45388,0.03353,0.0195,0.00541,3.05404,3.17809,1.7188,0.000774013,0.000774013,0.000774013
17,489.552,3.03752,3.80087,1.78868,0.48442,0.04736,0.03143,0.0084,2.9506,3.03279,1.66272,0.000765014,0.000765014,0.000765014
18,518.898,2.94949,3.61874,1.71959,0.48523,0.05587,0.03082,0.00861,2.97867,2.93499,1.64382,0.000756015,0.000756015,0.000756015
19,547.015,2.87669,3.57201,1.68623,0.51202,0.07688,0.04673,0.01434,2.80406,2.78844,1.5449,0.000747016,0.000747016,0.000747016
20,575.5,2.80909,3.43615,1.64587,0.49293,0.0918,0.07426,0.02191,2.79311,2.78643,1.54604,0.000738017,0.000738017,0.000738017
21,603.868,2.77639,3.28587,1.60428,0.49365,0.07658,0.05287,0.01634,2.80814,2.68393,1.52638,0.000729018,0.000729018,0.000729018
22,632.567,2.7945,3.33093,1.58992,0.50849,0.06881,0.083,0.02988,2.79636,2.66801,1.52413,0.000720019,0.000720019,0.000720019
23,662.394,2.77408,3.2279,1.58096,0.48752,0.09346,0.10604,0.04834,2.83727,2.70489,1.53842,0.00071102,0.00071102,0.00071102
24,691.103,2.70862,3.2115,1.56281,0.51208,0.09444,0.06285,0.01759,2.78903,2.69736,1.49997,0.000702021,0.000702021,0.000702021
25,719.627,2.66026,3.12639,1.5453,0.52548,0.10488,0.08034,0.02725,2.7404,2.56175,1.48011,0.000693022,0.000693022,0.000693022
26,747.993,2.64334,3.07435,1.51397,0.50253,0.14314,0.09677,0.02816,2.7347,2.73602,1.49703,0.000684022,0.000684022,0.000684022
27,776.043,2.60384,3.08481,1.52297,0.50111,0.11386,0.05164,0.01352,2.85262,2.61935,1.5478,0.000675023,0.000675023,0.000675023
28,804.394,2.63179,3.07807,1.49938,0.52144,0.15191,0.13986,0.0433,2.61294,2.48709,1.41625,0.000666024,0.000666024,0.000666024
