epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1644,4.94737,7.39064,4.13157,2e-05,0.01032,1e-05,0,4.91292,4.46073,3.99455,0.000299349,0.000299349,0.000299349
2,58.6077,4.66028,7.22131,3.85606,1e-05,0.0102,1e-05,0,4.78123,4.35312,3.45907,0.000596386,0.000596386,0.000596386
3,88.1963,4.4931,6.7188,3.54965,0,0,0,0,4.54752,4.55328,3.33701,0.000887423,0.000887423,0.000887423
4,120.884,4.27432,6.50274,3.27565,1e-05,0.0102,0.00019,4e-05,4.31525,4.45758,3.35025,0.000882003,0.000882003,0.000882003
5,150.1,4.23135,5.84327,2.95671,1e-05,0.00011,0,0,4.40631,4.03828,2.71532,0.000873004,0.000873004,0.000873004
6,180.033,4.12543,5.51469,2.74665,2e-05,0.02052,1e-05,0,4.32054,4.1553,2.60026,0.000864004,0.000864004,0.000864004
7,211.71,4.03015,5.40334,2.58814,8e-05,0.11236,0.0004,5e-05,4.20007,4.10238,2.60241,0.000855005,0.000855005,0.000855005
8,240.341,3.90192,5.27454,2.44329,0.00129,0.1053,0.00094,0.00018,3.89062,3.88351,2.25596,0.000846006,0.000846006,0.000846006
9,270.522,3.6635,5.01636,2.35622,0.00107,0.04855,0.00072,0.00018,3.88597,3.75464,2.31502,0.000837007,0.000837007,0.000837007
10,300.169,3.52969,4.80674,2.19642,0.00224,0.15834,0.00341,0.00081,3.40674,3.54864,2.07423,0.000828008,0.000828008,0.000828008
11,332.097,3.26193,4.43215,2.0754,0.61799,0.01278,0.00929,0.00209,3.26994,3.38362,2.00459,0.000819009,0.000819009,0.000819009
12,362.048,3.15015,4.22179,2.02578,0.47349,0.03296,0.0217,0.00675,3.10143,3.17129,1.92095,0.00081001,0.00081001,0.00081001
13,390.911,3.06863,4.0793,1.98055,0.00854,0.25607,0.01912,0.00533,2.97973,3.24595,1.85866,0.000801011,0.000801011,0.000801011
14,419.814,2.97391,3.91765,1.93805,0.62747,0.02844,0.02781,0.00737,2.92566,3.04953,1.82774,0.000792012,0.000792012,0.000792012
15,450.425,2.97489,3.8644,1.90943,0.61912,0.04853,0.02744,0.00782,3.07565,2.99781,1.84115,0.000783013,0.000783013,0.000783013
16,479.548,2.93191,3.84677,1.84695,0.50052,0.05809,0.03104,0.00915,2.91604,2.9977,1.82527,0.000774013,0.000774013,0.000774013
17,507.77,2.90187,3.68881,1.87334,0.62325,0.05341,0.03576,0.00918,2.84924,2.85402,1.82413,0.000765014,0.000765014,0.000765014
18,536.936,2.847,3.56925,1.85158,0.62113,0.04616,0.03782,0.01095,2.93192,2.8441,1.82769,0.000756015,0.000756015,0.000756015
19,565.877,2.79586,3.58203,1.80101,0.5305,0.06324,0.06613,0.01589,2.89354,2.81581,1.81319,0.000747016,0.000747016,0.000747016
20,594.951,2.75812,3.47688,1.78807,0.5874,0.03596,0.09866,0.02036,2.71288,2.93884,1.70227,0.000738017,0.000738017,0.000738017
21,623.786,2.7395,3.33215,1.73879,0.51461,0.08335,0.07095,0.01876,2.78302,2.6949,1.7387,0.000729018,0.000729018,0.000729018
22,653.13,2.77167,3.40453,1.74854,0.39763,0.07532,0.07521,0.02258,2.89222,2.68917,1.78706,0.000720019,0.000720019,0.000720019
