epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7363,1.68483,1.26121,1.09609,0.75676,0.70565,0.74887,0.44539,1.68253,1.10153,1.02746,0.000299349,0.000299349,0.000299349
2,58.8769,1.71341,1.32401,1.09839,0.69589,0.71047,0.74967,0.42247,1.61411,1.11978,1.02634,0.000596386,0.000596386,0.000596386
3,86.9504,1.77819,1.37497,1.12026,0.68501,0.7043,0.71241,0.38089,1.72528,1.20881,1.05775,0.000887423,0.000887423,0.000887423
4,114.847,1.80175,1.44365,1.13405,0.71714,0.65334,0.69415,0.41077,1.64261,1.20134,1.02639,0.000882003,0.000882003,0.000882003
5,143.18,1.78516,1.4464,1.13474,0.72832,0.69728,0.72728,0.42124,1.65323,1.2169,1.04451,0.000873004,0.000873004,0.000873004
6,172.296,1.80546,1.45215,1.14481,0.6359,0.6812,0.68944,0.39453,1.65318,1.23062,1.02599,0.000864004,0.000864004,0.000864004
7,200.121,1.78224,1.45474,1.14225,0.73323,0.67574,0.71554,0.33565,1.92058,1.26771,1.1178,0.000855005,0.000855005,0.000855005
8,228.37,1.77242,1.40839,1.13094,0.71117,0.69581,0.72185,0.37662,1.75981,1.19454,1.06618,0.000846006,0.000846006,0.000846006
9,256.422,1.77689,1.41855,1.14318,0.7312,0.64512,0.69885,0.39709,1.67972,1.25171,1.02998,0.000837007,0.000837007,0.000837007
10,284.259,1.81347,1.42518,1.1272,0.74789,0.68783,0.70856,0.37714,1.7172,1.20484,1.05331,0.000828008,0.000828008,0.000828008
11,313.01,1.7675,1.38762,1.12411,0.72582,0.65558,0.69234,0.29652,1.97214,1.23484,1.13645,0.000819009,0.000819009,0.000819009
